"bread","filling","side","price","ID"
"whole wheat","peanut butter","salad","12","A4_119"
"rice flour","peanut butter","salad","12","A4_120"
"rye","Impossible Meat","salad","12","A4_121"
"whole wheat","Impossible Meat","salad","12","A4_122"
"rice flour","Impossible Meat","salad","12","A4_123"
"rye","roasted veggies","salad","12","A4_124"
"whole wheat","roasted veggies","salad","12","A4_125"
"rice flour","roasted veggies","salad","12","A4_126"
"rye","peanut butter","cake","12","A4_127"
"whole wheat","peanut butter","cake","12","A4_128"
"rice flour","peanut butter","cake","12","A4_129"
"rye","Impossible Meat","cake","12","A4_130"
"whole wheat","Impossible Meat","cake","12","A4_131"
"rice flour","Impossible Meat","cake","12","A4_132"
"rye","roasted veggies","cake","12","A4_133"
"whole wheat","roasted veggies","cake","12","A4_134"
"rice flour","roasted veggies","cake","12","A4_135"
"rye","peanut butter","jelly","12","A4_136"
"whole wheat","peanut butter","jelly","12","A4_137"
"rice flour","peanut butter","jelly","12","A4_138"
"rye","Impossible Meat","jelly","12","A4_139"
"whole wheat","Impossible Meat","jelly","12","A4_140"
"rice flour","Impossible Meat","jelly","12","A4_141"
"rye","roasted veggies","jelly","12","A4_142"
"whole wheat","roasted veggies","jelly","12","A4_143"
"rice flour","roasted veggies","jelly","12","A4_144"
